uuid,name,ssn,job,residenct,blood_group,sex,birthdate
beQJsbqpF7dRoouNyecDXw,박성훈,190018-1562408,고객 상담 및 모니터 요원,제주특별자치도 수원시 팔달구 석촌호수5길,O-,M,19420129
fMRrVTD87EHiR7eRvjL79v,고예은,880029-2647126,자동차 정비원,부산광역시 마포구 개포7로 (지원박이동),B-,M,19530718
RA6TZhR3CkbPKrCVHKEygW,김은주,590303-1049302,회계 사무원,제주특별자치도 서천군 선릉로,AB-,M,19901224
YRVqpuGB6SmeqmaCx8TYEt,김선영,520802-2144048,광원/채석원 및 석재 절단원,전라북도 당진시 반포대610길,O-,F,20230221
Gf7ZRaRo4RX9vjbmXjVELs,박영자,880123-1391357,금형원,서울특별시 도봉구 영동대길 (병철최이읍),A-,F,19980128
2nJtCJHWo6GTvAmHt9RsCN,송진우,600513-1851005,기타 배관공,경기도 의왕시 석촌호수104가 (성진이심면),B+,M,19201113
adeMheQVarepL8f7QWEDyk,김지혜,710704-2286906,보건의료관련 관리자,부산광역시 중랑구 가락로 (병철이이면),A+,F,19151023
VVbWBqyLjkTrvfSh52VZyp,배혜진,010724-2116642,전기/전자 부품 및 제품 조립원,대전광역시 마포구 도산대4거리,A-,M,19680201
htbvDTahJnD7asgEk7HwiJ,한지현,250913-2659294,경기감독 및 코치,충청남도 청양군 반포대거리,AB-,M,20140803
SknHboSSuUJbWcRzXCcYS2,김광수,720621-1331461,촬영기사,경기도 청주시 흥덕구 강남대34로 (하은전박면),B-,M,19991020
eMXEvb4wd9RXeMpf5P3WAq,김지원,470619-2578222,금속기계부품 조립원,대구광역시 강동구 오금615가 (경수박면),AB+,M,20171011
aoaLVwzurNXhLEHa6jUcHJ,김민서,100818-1969465,정육원 및 도축원,강원도 청주시 청원구 오금9가,AB-,M,19720806
3z22eNjm7YM9cDcJRcHY8e,허지훈,880226-2439324,건설자재 시험원,광주광역시 중구 개포거리 (미숙손마을),B-,M,20200922
QHVjG3qRq26CHnzY9VUfor,나미경,150303-2158372,기타 건축마감관련 기능 종사원,울산광역시 강서구 오금446길,AB+,F,19180120
mkbYpxZ5NdjhgSjZR4V3HG,김은정,020523-2350679,부동산 컨설턴트 및 중개인,울산광역시 성북구 논현거리 (영자한리),A+,F,19890104
QukwZg7J5hgCg4Tau49bgQ,노유진,020209-2903069,산업안전 및 위험 관리원,서울특별시 금천구 영동대44로,AB-,M,19811018
VZqhYgLEXQcHuT7WHstfLF,강서연,500617-2991389,조경 기술자,대구광역시 마포구 학동거리 (현우박이리),O+,F,19631229
kh4LdexQfRkngFHBuNtBw2,김현준,360503-2114876,도장기 조작원,제주특별자치도 평택시 압구정773가,AB+,M,19210112
jPnTcuazg73gyx2SNGyTcQ,윤현우,400310-2704073,패스트푸드원,세종특별자치시 강동구 논현길 (상철이동),O-,M,19590120
chqQ5mhSS2fB7won26ZgJk,진성수,740409-2221364,어부 및 해녀,경상북도 여주시 잠실길,A+,M,20040929
KVCPrfAKmHt49zgCp3Txae,이상철,650425-2498614,기타 연극/영화 및 영상 관련 종사자,강원도 제천시 도산대거리 (민재김안마을),AB+,F,19180631
fxXEretviffnQ79UhQknZj,이춘자,520906-2405299,제빵원 및 제과원,제주특별자치도 청주시 서원구 백제고분가,O-,F,19261024
LFpBBYWbKz862o4tReYXkM,이상철,540923-1572474,투자 및 신용 분석가,서울특별시 구로구 봉은사거리 (민석이읍),B-,F,19620727
FSo7wcvLUbA44psySsdkuG,허민수,890828-2627931,고무 및 플라스틱 제품 조립원,전라남도 양주시 언주거리 (지은최고면),A-,M,19210406
6ESUmqV8kYgByKF9eLGSuE,박지은,140301-2609499,직조기 및 편직기 조작원,경상남도 용인시 수지구 서초대117길 (도윤한류동),B-,F,19641228
m5U2kyRHrDPuFXi6sRwo8Z,서준혁,540723-1428902,기계공학 기술자 및 연구원,전라남도 음성군 오금길 (영길김장동),B-,M,19950429
hzYREh8Pki3osET668SYDK,박현우,860117-1461256,회계 사무원,제주특별자치도 횡성군 역삼96가,O+,F,19210125
6iNiFeVrKKyzVkSvkXqsAC,김영호,580807-1037413,컴퓨터 하드웨어 기술자 및 연구원,부산광역시 강북구 백제고분929길 (건우김박리),A+,F,19091104
V9VEUkLcKbu8de7a2aZRhr,양지혜,780714-1617766,인터넷 판매원,충청남도 성남시 도산대42가,A-,F,19591231
XeSNLLT3ubWBNQ4y99By7b,고현우,380218-2503938,보험 심사원 및 사무원,세종특별자치시 동대문구 가락거리,A-,F,19161013
SoK8FjdAHT2yC4Cwuvh2rm,김준영,220109-1399909,인사 및 노사 관련 전문가,서울특별시 도봉구 잠실로,O-,F,19780429
4R7c9emhY3tN77fxa386M6,김정훈,940513-1272490,안경사,경상북도 평택시 영동대가 (명숙최박면),AB-,F,20230826
